region,title,address,phone,score,open_time,comment1,comment2,comment3
南投,Block House 積木家,南投縣魚池鄉通文巷3-13號,'0910075717',4.8,None,房間環境 · 4.4,服務與設施 · 4.4,None
南投,水鄉渡假villa,南投縣埔里鎮內埔路15-5號,'0492993098',4.8,None,None,None,None
南投,星玥涵屋民宿STAR&MOON GUEST HOUSE,南投縣埔里鎮枇杷路105號,'0920787227',4.9,None,None,None,None
南投,H& 日月潭水漾｜伊達邵老街｜湖景,南投縣魚池鄉豐年街56號,'0973061835',4.4,None,"房間環境 · 4.2
房間有景觀 · 房客喜歡這裡乾淨的房間，但有些人覺得室內有些陳舊 · 房客喜歡這裡安靜的房間和舒適的床舖","位置 · 4.6
適合開車前往，設有停車場 · 附近有購物區和觀光景點","服務與設施 · 4.6
房客稱讚這裡的員工態度友善又專業 · 房客對於這裡的管理和接待服務給予高度評價"
南投,日月潭朵麗絲的家民宿,南投縣魚池鄉中山路146巷20號,'0492855221',4.9,None,"房間環境 · 4.4
房客喜歡這裡寬敞、乾淨的房間 · 房客喜歡這裡舒適的床舖 · 房客稱讚這裡的浴室空間",位置 · 4.9,"服務與設施 · 4.9
房客稱讚這裡的員工態度友善又專業 · 房客對於這裡的管理給予高度評價"
南投,明月湖品味湖畔旅店,None,None,None,None,None,None,None
南投,日月潭涵碧樓酒店 The Lalu Sun Moon Lake,None,None,None,None,None,None,None
南投,日月潭水岸休閒飯店,南投縣魚池鄉文化街112號,'0492850566',4.5,None,"房間環境 · 3.4
房間有景觀 · 房客喜歡這裡乾淨的房間 · 有些房客覺得這裡的浴室太小，清潔方面也有待改善","位置 · 4.4
附近有購物區、觀光景點、餐廳和酒吧","服務與設施 · 4.8
房客稱讚這裡的員工態度友善又專業 · 房客對於這裡的管理和接待服務給予高度評價"
南投,碼頭水沙連大飯店,南投縣魚池鄉名勝街5號,'0492855143',3.6,None,"房間環境 · 4.3
房間有景觀 · 房客喜歡這裡乾淨的房間 · 有些房客提到這裡的浴室有待改善",位置 · 4.6,"服務與設施 · 3.9
房客稱讚這裡的員工態度友善又專業"
南投,翠峰農場 卡爾小鎮天文教育園區,南投縣仁愛鄉仁和路235號,'0909861988',4.3,None,None,None,None
南投,日月潭藍天水灣民宿Blue Sky Bay B&B｜日月潭民宿推薦｜日月潭住宿推薦,南投縣魚池鄉中興路21號,'0492856815',4.7,None,"房間環境 · 4.5
房客喜歡這裡寬敞、乾淨的房間 · 房客稱讚這裡的浴室空間 · 房客喜歡這裡舒適的床舖","位置 · 4.5
設有停車場 · 附近有購物區 · 靠近大眾運輸站","服務與設施 · 4.8
房客稱讚這裡的員工態度友善 · 房客對於這裡的管理和接待服務給予高度評價"
南投,冠月精品旅館,None,None,None,None,None,None,None
南投,REVEL VILLA 享想旅宿,南投縣埔里鎮枇杷路111-2號,'0972072780',4.8,None,None,None,None
南投,清境普羅旺斯玫瑰莊園,南投縣仁愛鄉,'0492803990',3.8,None,"房間環境 · 3.3
房間有景觀 · 有些房客覺得這裡的浴室太小 · 有些房客覺得這裡的房間不夠安靜，床舖也有待改善","位置 · 4.8
設有停車場","服務與設施 · 2.5
房客稱讚這裡的員工態度友善 · 有些房客覺得這裡的接待服務和客房整理服務有待改善"
南投,米洛克景觀飯店,南投縣魚池鄉中正路3號,'0492856820',3.6,None,"房間環境 · 3.5
房間有景觀 · 有些房客覺得這裡的房間太小且有些陳舊，清潔方面也有待改善 · 有些房客提到這裡的浴室有待改善",位置 · 2.1,"服務與設施 · 3.0
房客稱讚這裡的員工態度友善 · 有些房客覺得這裡的客房整理服務有待改善"
南投,埔里故事館（訂房優惠Line:@plsh）,南投縣埔里鎮中正路180號,'0492990180',4.7,None,"房間環境 · 4.1
房客喜歡這裡乾淨的房間，但有些人覺得太小 · 房客稱讚這裡的浴室空間 · 房客喜歡這裡舒適的床舖",位置 · 2.5,"服務與設施 · 4.5
房客稱讚這裡的員工態度友善又專業 · 房客對於這裡的管理給予高度評價"
南投,溪頭夏緹飯店,南投縣鹿谷鄉興產路24-18號,'0492753333',4.2,None,"房間環境 · 4.0
房客喜歡這裡乾淨的房間，但有些人覺得室內有些陳舊 · 房間有景觀 · 房客喜歡這裡舒適的床舖","位置 · 4.2
適合開車前往，設有停車場 · 附近有觀光景點","服務與設施 · 4.1
房客稱讚這裡的員工態度友善又專業 · 房客喜歡這間飯店的管理、接待服務和客房整理服務"
南投,雲的故鄉,南投縣仁愛鄉信義巷44號,'0492803603',4.4,None,房間環境 · 3.4,服務與設施 · 3.8,None
南投,Block House 積木家,南投縣魚池鄉通文巷3-13號,'0910075717',4.8,None,房間環境 · 4.4,服務與設施 · 4.4,None
南投,散步的雲-日月潭生態民宿Roamingcloud B&B,南投縣魚池鄉平和巷1之66號,'0905889166',4.9,None,None,None,None
南投,「山閱。聖堡羅莊園」 Saint Paul Villa,南投縣魚池鄉華山巷32號,'0492896163',4.9,None,"房間環境 · 2.9
有些房客提到這裡的浴室有待改善",位置 · 1.8,"服務與設施 · 4.4
房客稱讚這裡的員工態度友善 · 房客對於這裡的管理給予高度評價"
南投,雲品溫泉酒店,南投縣魚池鄉中正路23號,'0492856788',4.7,None,None,None,None
南投,日月潭旅人小屋,南投縣魚池鄉555,'0921372902',4.7,None,None,None,None
南投,水鄉渡假villa,南投縣埔里鎮內埔路15-5號,'0492993098',4.8,None,None,None,None
南投,日月潭明宿,南投縣魚池鄉平和巷78 號,'0965338651',4.5,None,None,None,None
南投,星玥涵屋民宿STAR&MOON GUEST HOUSE,南投縣埔里鎮枇杷路105號,'0920787227',4.9,None,None,None,None
南投,福容徠旅 水里,南投縣水里鄉東三街51號,'0492771888',4.4,None,"房間環境 · 3.7
房客喜歡這裡乾淨、經過翻新整修的房間 · 房客稱讚這裡的浴室寬敞又乾淨 · 房間有景觀，並設有電視","位置 · 3.4
附近有購物區和觀光景點","服務與設施 · 3.6
房客稱讚這裡的員工態度友善又專業 · 房客對於這裡的管理和客房整理服務給予高度評價"
南投,日月潭經典大飯店思麻丹館,None,None,None,None,None,None,None
南投,馥麗溫泉大飯店,None,None,None,None,None,None,None
南投,日月潭晶澤會館,南投縣魚池鄉水沙連街3號,'0497008188',4.0,None,"房間環境 · 4.0
房間有景觀，並設有簡易廚房 · 房客喜歡這裡寬敞的房間，但有些人覺得室內有些陳舊，維護方面也有待改善 · 房客喜歡這裡安靜的房間","位置 · 4.7
附近有購物區、觀光景點、餐廳和酒吧","服務與設施 · 4.5
房客稱讚這裡的員工態度友善又專業 · 房客對於這裡的接待人員給予高度評價，但有些人覺得客房整理服務有待改善"
南投,日月潭大飯店,None,None,None,None,None,None,None
南投,金宿民宿,南投縣埔里鎮四維路1號,'0911103955',4.5,None,"房間環境 · 3.4
房客喜歡這裡寬敞、乾淨的房間 · 房客稱讚這裡的浴室很寬敞","位置 · 4.4
靠近大眾運輸站 · 設有停車場","服務與設施 · 4.8
房客對於這裡的管理和接待服務給予高度評價 · 房客稱讚這裡的員工態度友善"
南投,雲頂渡假山莊(清境民宿/夕陽/渡假/旅遊/觀星/星空房/玫瑰/落羽松/瑜珈室),南投縣仁愛鄉仁和路182-2號,'0492803788',4.5,None,"房間環境 · 4.1
房間有景觀 · 房客喜歡這裡寬敞的房間 · 有些房客覺得這裡的床舖有待改善",位置 · 3.6,"服務與設施 · 4.6
房客稱讚這裡的員工態度友善"
南投,日月潭兒茶宿B&B sun moon tea b&b,None,None,None,None,None,None,None
南投,秘密花園設計villa,南投縣魚池鄉瓊文巷39-11號,'0986418520',4.9,None,"房間環境 · 4.6
房客喜歡這裡寬敞的房間 · 有些房客提到這裡的浴室有待改善",位置 · 3.7,"服務與設施 · 5.0
房客稱讚這裡的員工態度友善又專業 · 房客對於這裡的管理給予高度評價"
南投,日月潭皇后古堡飯店,南投縣魚池鄉中正路250號,'0492850009',4.5,None,None,None,None
南投,舒馨精品旅館,南投縣魚池鄉瓊文巷39-10號過十字路口後，右手邊綠色植被牆的小巷子,'0985581981',4.6,None,None,None,None
南投,鹿露南投魚池露營區-日月潭露營區小木屋咖啡廳推薦,南投縣魚池鄉中山路8號,'0492856679',4.4,None,"房間環境 · 4.5
房客喜歡這裡寬敞、乾淨的房間，但有些人覺得室內有些陳舊 · 房間有景觀","位置 · 4.3
設有停車場 · 附近有觀光景點","服務與設施 · 4.5
房客稱讚這裡的員工態度友善又專業 · 房客對於這裡的接待人員和客房整理服務給予高度評價"
南投,力麗哲園 日潭館,南投縣魚池鄉水秀街7號,'0492850022',4.2,None,"房間環境 · 3.7
房間有景觀 · 房客喜歡這裡寬敞的房間，但有些人覺得室內有些陳舊 · 房客喜歡這裡寬敞的浴室，但有些人覺得清潔方面有待改善","位置 · 4.0
靠近市中心；附近有購物區和觀光景點","服務與設施 · 2.7
房客稱讚這裡的員工態度友善又專業 · 有些房客覺得這裡的管理和客房整理服務有待改善"
南投,溪頭夏緹飯店,南投縣鹿谷鄉興產路24-18號,'0492753333',4.2,None,"房間環境 · 4.0
房客喜歡這裡乾淨的房間，但有些人覺得室內有些陳舊 · 房間有景觀 · 房客喜歡這裡舒適的床舖","位置 · 4.2
適合開車前往，設有停車場 · 附近有觀光景點","服務與設施 · 4.1
房客稱讚這裡的員工態度友善又專業 · 房客喜歡這間飯店的管理、接待服務和客房整理服務"
南投,五船民宿 5Boat B&B 國旅卡特約,None,None,None,None,None,None,None
南投,REVEL VILLA 享想旅宿,南投縣魚池鄉水秀街8號,'0492850307',4.0,None,None,None,None
南投,諾丁丘民宿,南投縣魚池鄉銃櫃巷60-1號,'0911094109',4.8,None,"房間環境 · 4.8
房客喜歡這裡寬敞的房間","服務與設施 · 5.0
房客稱讚這裡的員工態度友善",None
南投,清境花沐星境莊園,南投縣仁愛鄉仁和路212-2附1號,'0492802891',4.0,None,None,None,None
南投,山月景緻旅館,南投縣草屯鎮中正路1155號,'0492381177',4.0,None,"房間環境 · 3.4
房客喜歡這裡寬敞的房間 · 房客稱讚這裡的浴室很寬敞",位置 · 4.2,服務與設施 · 3.5
南投,浪漫滿屋戀愛故事館,南投縣魚池鄉通文巷3-10號,'0923898417',4.2,None,"房間環境 · 3.9
房客喜歡這裡乾淨的房間，但有些人覺得室內有些陳舊 · 房客稱讚這裡的浴室空間 · 房客喜歡這裡舒適的床舖","位置 · 4.8
附近有購物區和觀光景點 · 設有停車場","服務與設施 · 4.4
房客稱讚這裡的員工態度友善又專業 · 房客對於這裡的管理給予高度評價"
南投,日月潭青井澤休閒旅店,None,None,None,None,None,None,None
南投,日月風華,None,None,None,None,None,None,None
南投,沐悅時尚精品旅館,None,None,None,None,None,None,None
南投,簡單161 Easy Inn ｜日月潭住宿推薦｜,None,None,None,None,None,None,None
南投,草屯福美大飯店,南投縣埔里鎮桃米路6號,'0965657897',4.6,None,"房間環境 · 3.9
房客喜歡這裡寬敞、乾淨的房間 · 房間有景觀，並設有小吧檯 · 房客稱讚這裡的浴室很寬敞","位置 · 4.1
設有停車場","服務與設施 · 4.6
房客稱讚這裡的員工態度友善又專業 · 房客對於這裡的管理和接待服務給予高度評價"
南投,日月潭鴻賓大飯店,南投縣魚池鄉名勝街3號,'0492855888',4.3,None,None,None,None
南投,"愛黏在一起民宿(無電話預訂,僅官網訂房,不接待6歲以下孩童)",南投縣魚池鄉修正巷3-12號,'0492898088',4.7,None,None,None,None
南投,可可摩鐵時尚旅店 CoCo汽車旅館-南投埔里合法民宿住宿飯店 汽車旅館 訂房好評推薦 摩鐵休息 寵物友善 雙人房 四人房 商務旅館 埔里觀光夜市 酒廠附近 PTT Dcard,南投縣魚池鄉魚池街458號,'0970708093',5.0,None,None,None,None
南投,日月潭-潭香時尚旅店-水社碼頭,None,None,None,None,None,None,None
南投,日月潭麗鴻的家-住宿,南投縣魚池鄉文化巷38-1號,'0492898279',3.7,None,None,None,None
南投,台灣真美日月潭會館,南投縣魚池鄉中山路105號,'0492855155',3.0,None,None,None,None
南投,歸璞泊旅 Hotel Beore－南投｜新開幕飯店 全新飯店 推薦 精品酒店 度假飯店 精品旅店 首選 2024住宿評價 高cp值 好評 網友推薦日月潭飯店,南投縣魚池鄉中山路196號,'0492856528',4.9,None,None,None,None
南投,力麗哲園 月潭館,南投縣魚池鄉水秀街71號,'0492850033',None,None,"房間環境 · 3.3
房間有景觀 · 有些房客覺得這裡的浴室太小，清潔方面也有待改善","位置 · 4.1
附近有購物區和觀光景點","服務與設施 · 3.7
房客對於這裡的接待人員給予高度評價，但有些人覺得客房整理服務有待改善 · 房客稱讚這裡的員工態度專業"
南投,日月潭原宿旅店YUAN-SU B&B,"號 No, No. 58水秀街魚池鄉南投縣555",'0492850215',4.7,None,None,None,None
南投,埔里故事館（訂房優惠Line:@plsh）,南投縣埔里鎮中正路180號,None,4.7,None,None,None,None
南投,日月潭經典大飯店范特奇堡,南投縣魚池鄉,'0972933316',4.9,None,None,None,None
南投,麒麟渡假山莊,南投縣埔里鎮東潤路53巷18號,'0492926614',4.1,None,房間環境 · 3.9,None,None
南投,日月潭日月對白民宿(合法民宿1085號),南投縣竹山鎮鹿山路571號,'0934098997',4.0,None,None,None,None
南投,喔！我知道了 友善親子民宿,南投縣埔里鎮房里路46號,'0988021448',4.7,None,None,None,None
南投,清境愛立家旅遊民宿,南投縣仁愛鄉榮光巷9-1號號 之1號,'0492803259',4.1,None,None,None,None
南投,鎮寶大飯店,南投縣埔里鎮忠孝路299號,'0492903333',3.5,None,"房間環境 · 2.7
房客喜歡這裡寬敞的房間，但有些人覺得室內有些陳舊，清潔和維護方面也有待改善 · 有些房客覺得這裡的浴室太小，清潔方面也有待改善","位置 · 4.1
靠近市中心；附近有購物區","服務與設施 · 2.6
房客稱讚這裡的員工態度友善 · 有些房客覺得這裡的管理和客房整理服務有待改善"
南投,清境普羅旺斯玫瑰莊園,南投縣仁愛鄉,'0492803990',3.8,None,"房間環境 · 3.3
房間有景觀 · 有些房客覺得這裡的浴室太小 · 有些房客覺得這裡的房間不夠安靜，床舖也有待改善","位置 · 4.8
設有停車場","服務與設施 · 2.5
房客稱讚這裡的員工態度友善 · 有些房客覺得這裡的接待服務和客房整理服務有待改善"
南投,清境農場國民賓館,None,None,None,None,None,None,None
南投,溪頭盛軒森林會館(近溪頭新大門-有專屬停車場),南投縣埔里鎮東潤路31號,'0492926388',4.4,None,"房間環境 · 4.0
房間有景觀 · 房客喜歡這裡乾淨的房間",位置 · 1.7,"服務與設施 · 4.3
房客對於這裡的管理給予高度評價 · 房客稱讚這裡的員工態度友善"
南投,闕麒景觀民宿,南投縣集集鎮成功路205號,'0492761000',4.1,None,房間環境 · 1.2,None,None
南投,歐鄉美邸民宿,南投縣仁愛鄉35號,'0492803993',4.4,None,"房間環境 · 3.7
房間有景觀 · 房客喜歡這裡乾淨的房間，但有些人覺得維護方面有待改善 · 有些房客覺得這裡的浴室太小","位置 · 3.2
設有停車場","服務與設施 · 4.5
房客稱讚這裡的員工態度友善又專業 · 房客喜歡這裡的管理和接待服務，但有些人覺得客房整理服務有待改善"
南投,埔里 阮兜小丘民宿,南投縣埔里鎮慈恩街635號,'0960606609',4.7,None,None,None,None
南投,南投大飯店,南投縣南投市三和一路6號,'0492229161',3.4,None,"房間環境 · 2.8
房客喜歡這裡寬敞的房間 · 有些房客提到這裡的浴室有待改善",位置 · 4.1,"服務與設施 · 3.9
房客稱讚這裡的員工態度友善"
南投,金格渡假民宿,南投縣集集鎮民權路262號,'0937780110',4.9,None,"房間環境 · 4.5
房客喜歡這裡寬敞、乾淨的房間 · 房間有景觀","位置 · 4.9
設有停車場 · 附近有購物區和觀光景點 · 靠近大眾運輸站","服務與設施 · 4.9
房客稱讚這裡的員工態度友善又專業 · 房客對於這裡的管理和接待服務給予高度評價"
南投,萊客 Lake B&B,None,None,None,None,None,None,None
台中,None,台中市北區太平路22號3樓,'0422277733',None,None,"房間環境 · 3.0
房客喜歡這裡乾淨的房間，但有些人覺得太小且有些陳舊 · 有些房客覺得這裡的浴室太小，清潔方面也有待改善","位置 · 4.4
附近有購物區、餐廳和酒吧 · 適合開車前往","服務與設施 · 3.5
房客稱讚這裡的員工態度友善 · 有些房客覺得這裡的客房整理服務有待改善"
台中,奇異果快捷旅店-站前二店 KIWI EXPRESS HOTEL-Taichung Station Branch 2,台中市西區綠川西街29號,'0435067728',4.2,None,"房間環境 · 2.7
有些房客覺得這裡的浴室太小，清潔方面也有待改善 · 有些房客覺得這裡的房間太小且有些陳舊，清潔和維護方面也有待改善","位置 · 4.4
靠近大眾運輸站和火車站","服務與設施 · 4.1
房客稱讚這裡的員工態度友善又專業 · 房客對於這裡的接待人員給予高度評價，但有些人覺得客房整理服務有待改善"
台中,樂微行旅 The Way Inn.,台中市南區民意街66號,'0422858800',4.9,None,None,None,None
台中,永豐棧酒店,台中市西屯區臺灣大道二段689號,'0423268008',4.1,None,"房間環境 · 3.2
房客喜歡這裡寬敞的房間，但有些人覺得室內有些陳舊，維護方面也有待改善 · 房客稱讚這裡的浴室很寬敞","位置 · 4.1
靠近市中心；附近有購物區和觀光景點 · 適合開車前往，房客覺得停車場收費合理 · 靠近大眾運輸站","服務與設施 · 3.5
房客稱讚這裡的員工態度友善又專業 · 有些房客覺得這裡的管理和客房整理服務有待改善"
台中,Star Hostel Taichung Parklane 誠星青年旅館,台中市西區公益路68號15樓,'0423219696',4.6,None,None,None,None
台中,楓華沐月台灣大道行館 Hotel Maple Taiwan Boulevard,台中市北區臺灣大道一段635號,'0422293722',4.4,None,"房間環境 · 3.1
有些房客覺得這裡的浴室太小，清潔方面也有待改善 · 有些房客覺得這裡的房間太小，維護方面也有待改善","位置 · 3.4
靠近市中心；附近有購物區、觀光景點、餐廳和酒吧 · 靠近大眾運輸站和火車站","服務與設施 · 3.5
房客稱讚這裡的員工態度友善 · 房客對於這裡的接待人員給予高度評價，但有些人覺得客房整理服務有待改善"
台中,Calligraphy Greenway Hotel Taichung 草悟道文旅,台中市西區英才路512號,'0435019388',4.1,None,"房間環境 · 2.4
有些房客覺得這裡的房間太小且有些陳舊，清潔方面也有待改善 · 有些房客提到這裡的浴室在清潔方面有待改善","位置 · 3.9
靠近市中心；附近有購物區和觀光景點 · 靠近大眾運輸站","服務與設施 · 3.9
房客稱讚這裡的員工態度友善又專業 · 房客對於這裡的接待人員給予高度評價，但有些人覺得客房整理服務有待改善"
台中,台中兆品酒店,台中市北屯區后庄路306號,'0424255678',4.1,None,"房間環境 · 3.6
房客喜歡這裡寬敞的房間，但有些人覺得室內有些陳舊，維護方面也有待改善 · 房客喜歡這裡寬敞的浴室，但有些人覺得清潔方面有待改善 · 房間有景觀","位置 · 3.6
適合開車前往，設有停車場 · 附近有購物區、餐廳和酒吧","服務與設施 · 4.2
房客稱讚這裡的員工態度友善又專業 · 房客喜愛這裡的游泳池和健身房 · 房客對於這裡的管理和接待服務給予高度評價"
台中,長榮桂冠酒店（台中）,台中市西屯區臺灣大道二段666號,'0423139988',4.3,None,"房間環境 · 3.2
有些房客提到這裡的浴室有待改善 · 房間有景觀","位置 · 4.0
靠近市中心；附近有購物區、觀光景點、餐廳和酒吧 · 適合開車前往，房客覺得停車場收費合理 · 靠近大眾運輸站","服務與設施 · 4.0
房客稱讚這裡的員工態度友善又專業 · 房客喜愛這裡的蒸氣室和健身房 · 房客對於這裡的客房整理服務給予高度評價"
台中,GOGOHOTEL-市政館,台中市西屯區四川路138號,'0423693399',4.3,None,"房間環境 · 4.2
房客喜歡這裡寬敞、乾淨的房間，但有些人覺得室內有些陳舊，維護方面也有待改善 · 浴室寬敞又乾淨","位置 · 4.2
適合開車前往，設有停車場 · 靠近大眾運輸站 · 靠近市中心","服務與設施 · 4.4
房客稱讚這裡的員工態度友善又專業 · 房客對於這裡的接待人員和客房整理服務給予高度評價"
台中,台中金典酒店,台中市西區健行路1049號,'0423288000',4.2,None,"房間環境 · 3.4
房客喜歡這裡寬敞的房間，但有些人覺得室內有些陳舊，維護方面也有待改善 · 房間有景觀","位置 · 4.4
靠近市中心；附近有購物區、觀光景點、餐廳和酒吧 · 適合開車前往，房客覺得停車場收費合理 · 靠近大眾運輸站","服務與設施 · 3.9
房客稱讚這裡的員工態度友善又專業 · 房客喜愛這裡的游泳池和蒸氣室 · 房客對於這裡的管理給予高度評價"
台中,MINI HOTELS 台中火車站館,台中市東區大勇街69號,'0422259966',4.5,None,"房間環境 · 2.8
有些房客覺得這裡的浴室太小，清潔方面也有待改善 · 有些房客覺得這裡的房間太小","位置 · 4.5
靠近大眾運輸站和火車站 · 適合開車前往，房客覺得停車場收費合理 · 附近有購物區、餐廳和酒吧","服務與設施 · 4.5
房客稱讚這裡的員工態度友善又專業 · 房客對於這裡的接待人員給予高度評價"
台中,台中愛戀旅店 Taichung Amour Hotel,台中市北區錦祥街22號,'0422361777',3.7,None,"房間環境 · 2.6
有些房客覺得這裡的浴室太小，清潔方面也有待改善 · 有些房客覺得這裡的房間有些陳舊，清潔和維護方面也有待改善","位置 · 3.4
附近有餐廳和酒吧","服務與設施 · 3.3
房客稱讚這裡的員工態度友善又專業 · 房客對於這裡的接待人員給予高度評價，但有些人覺得客房整理服務有待改善"
台中,通豪大飯店,台中市北區中清路一段521號,'0422980080',4.0,None,房間環境 · 4.2,位置 · 4.8,"服務與設施 · 4.9
房客稱讚這裡的員工態度友善"
台中,挪威森林台中行旅3號館 Norway Forest Taichung Travel Hotel No.3,台中市中區建國路187號,'0422212288',4.5,None,"房間環境 · 3.2
房客喜歡這裡乾淨、經過翻新整修的房間，但有些人覺得太小 · 有些房客覺得這裡的浴室太小，清潔方面也有待改善","位置 · 4.2
靠近大眾運輸站和火車站 · 房客覺得停車場收費合理","服務與設施 · 3.8
房客稱讚這裡的員工態度友善又專業 · 房客對於這裡的接待人員給予高度評價"
台中,雀客旅館 台中文心中清 CHECK inn Taichung Wenxin Zhongqing,台中市北區北平路一段6號,'0422911166',4.3,None,None,None,None
台中,MINI HOTELS 逢甲館,台中市西屯區福星北一街15號,'0427073777',4.2,None,None,None,None
台中,綠夜文旅,台中市西區公正路122號,'0423019797',4.5,None,"房間環境 · 3.2
房客喜歡這裡乾淨的房間，但有些人覺得太小 · 房客喜歡這裡乾淨的浴室，但有些人覺得太小 · 有些房客覺得這裡的房間不夠安靜，床舖也有待改善","位置 · 4.3
附近有購物區和觀光景點","服務與設施 · 4.5
房客稱讚這裡的員工態度友善又專業 · 房客對於這裡的接待人員給予高度評價"
台中,MINI HOTELS 台中火車站館,台中市東區大勇街69號,'0422259966',4.5,None,"房間環境 · 2.8
有些房客覺得這裡的浴室太小，清潔方面也有待改善 · 有些房客覺得這裡的房間太小","位置 · 4.5
靠近大眾運輸站和火車站 · 適合開車前往，房客覺得停車場收費合理 · 附近有購物區、餐廳和酒吧","服務與設施 · 4.5
房客稱讚這裡的員工態度友善又專業 · 房客對於這裡的接待人員給予高度評價"
台中,台中愛戀旅店 Taichung Amour Hotel,台中市北區錦祥街22號,'0422361777',3.7,None,"房間環境 · 2.6
有些房客覺得這裡的浴室太小，清潔方面也有待改善 · 有些房客覺得這裡的房間有些陳舊，清潔和維護方面也有待改善","位置 · 3.4
附近有餐廳和酒吧","服務與設施 · 3.3
房客稱讚這裡的員工態度友善又專業 · 房客對於這裡的接待人員給予高度評價，但有些人覺得客房整理服務有待改善"
台中,台中草悟道住宿綠宿行旅Green Hotel,台中市西區民生北路126號,'0423010011',4.7,None,"房間環境 · 4.1
房客喜歡這裡乾淨的房間，但有些人覺得太小，維護方面也有待改善 · 房客喜歡這裡舒適的床舖 · 房間設有簡易廚房","位置 · 4.3
適合開車前往，房客覺得停車場收費合理 · 附近有購物區和觀光景點","服務與設施 · 4.7
房客稱讚這裡的員工態度友善又專業 · 房客喜歡這間飯店的管理、接待服務和客房整理服務 · 洗衣服務"
台中,暮雲商旅 Autumn Willow Hotel,台中市西區五權五街151號,'0423718881',4.5,None,None,None,None
